SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,Owned,Wanted,QtyOwned,Rating
27848,"60192","1","City","Arctic","2018","Arctic Ice Crawler",1,200,15.99,24.99,29.99,19.99,"https://images.brickset.com/sets/images/60192-1.jpg",2202,692,"Yes","No",1,
28476,"60207","1","City","Sky Police","2019","Drone Chase",3,192,17.99,29.99,39.99,19.99,"https://images.brickset.com/sets/images/60207-1.jpg",1158,660,"Yes","No",1,
28422,"60218","1","City","Great Vehicles","2019","Desert Rally Racer",1,75,9.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/60218-1.jpg",2044,600,"Yes","No",1,
28428,"60222","1","City","Great Vehicles","2019","Snow Groomer",2,197,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60222-1.jpg",2413,1014,"Yes","No",1,
29041,"60224","1","City","Space","2019","Satellite Service Mission",1,84,9.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/60224-1.jpg",2540,1006,"Yes","No",1,
29040,"60225","1","City","Space","2019","Rover Testing Drive",2,202,17.99,29.99,39.99,19.99,"https://images.brickset.com/sets/images/60225-1.jpg",1634,1153,"Yes","No",1,
29039,"60226","1","City","Space","2019","Mars Research Shuttle",2,273,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/60226-1.jpg",1859,1279,"Yes","No",1,
27427,"70638","1","Ninjago","Sons of Garmadon","2018","Katana V11",2,257,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70638-1.jpg",1828,342,"Yes","No",1,
27428,"70639","1","Ninjago","Sons of Garmadon","2018","Street Race of Snake Jaguar",2,308,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/70639-1.jpg",1493,392,"Yes","No",1,
27778,"70650","1","Ninjago","Hunted","2018","Destiny's Wing",2,181,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70650-1.jpg",1249,369,"Yes","No",1,
28384,"70665","1","Ninjago","Legacy","2019","The Samurai Mech",3,154,14.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/70665-1.jpg",1670,523,"Yes","No",1,
28385,"70666","1","Ninjago","Legacy","2019","The Golden Dragon",3,171,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70666-1.jpg",1770,518,"Yes","No",1,
28387,"70668","1","Ninjago","Legacy","2019","Jay's Storm Fighter",4,490,34.99,39.99,49.99,39.99,"https://images.brickset.com/sets/images/70668-1.jpg",1005,637,"Yes","No",1,
29083,"70671","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Lloyd's Journey",2,81,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/70671-1.jpg",1539,698,"Yes","No",1,
29256,"70672","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Cole's Dirt Bike",3,212,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70672-1.jpg",620,309,"Yes","No",1,
29255,"70673","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Shuricopter",3,361,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/70673-1.jpg",591,354,"Yes","No",1,
29086,"70677","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Land Bounty",9,1178,119.99,129.99,159.99,129.99,"https://images.brickset.com/sets/images/70677-1.jpg",362,565,"Yes","No",1,
28407,"70680","1","Ninjago","Legacy","2019","Monastery Training",2,122,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70680-1.jpg",1244,405,"Yes","No",1,
29259,"70683","1","Ninjago","Spinjitzu Slam","2019","Spinjitzu Slam - Zane",1,63,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70683-1.jpg",385,192,"Yes","No",1,
28451,"70821","1","The Lego Movie 2: The Second Part","","2019","Emmet and Benny's 'Build and Fix' Workshop!",2,117,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70821-1.jpg",2277,644,"Yes","No",1,
28447,"70823","1","The Lego Movie 2: The Second Part","","2019","Emmet's Thricycle!",1,174,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/70823-1.jpg",2825,518,"Yes","No",1,
28446,"70836","1","The Lego Movie 2: The Second Part","","2019","Battle-Ready Batman and MetalBeard",2,168,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70836-1.jpg",3157,799,"Yes","No",1,
28445,"70841","1","The Lego Movie 2: The Second Part","","2019","Benny's Space Squad",5,68,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70841-1.jpg",10699,1142,"Yes","No",1,
22957,"75036","1","Star Wars","Episode III","2014","Utapau Troopers",4,83,11.99,12.99,15.99,16.99,"https://images.brickset.com/sets/images/75036-1.jpg",8651,2528,"Yes","No",1,
23794,"75074","1","Star Wars","MicroFighters","2015","Snowspeeder",1,97,8.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/75074-1.jpg",11232,1605,"Yes","No",1,
26716,"75184","1","Star Wars","Seasonal","2017","Star Wars Advent Calendar",8,309,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/75184-1.jpg",6659,1044,"Yes","No",1,
28469,"75890","1","Speed Champions","Ferrari","2019","Ferrari F40 Competizione",1,198,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/75890-1.jpg",4722,983,"Yes","No",1,
29276,"75945","1","Harry Potter","Prisoner of Azkaban","2019","Expecto Patronum",4,121,19.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75945-1.jpg",4574,1637,"Yes","No",1,
27839,"75950","1","Harry Potter","Chamber of Secrets","2018","Aragog's Lair",2,157,12.99,14.99,18.99,19.99,"https://images.brickset.com/sets/images/75950-1.jpg",7189,1114,"Yes","No",1,
27840,"75951","1","Harry Potter","Fantastic Beasts","2018","Grindelwald's Escape",2,132,19.99,19.99,24.99,29.99,"https://images.brickset.com/sets/images/75951-1.jpg",5959,1203,"Yes","No",1,
29286,"75964","1","Harry Potter","Seasonal","2019","Harry Potter Advent Calendar",8,305,24.99,39.99,49.99,24.99,"https://images.brickset.com/sets/images/75964-1.jpg",3679,1211,"Yes","No",1,
29300,"75965","1","Harry Potter","Goblet of Fire","2019","The Rise of Voldemort",6,184,19.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75965-1.jpg",3434,1588,"Yes","No",1,
28340,"76113","1","Marvel Super Heroes","Spider-Man","2019","Spider-Man Bike Rescue",3,235,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76113-1.jpg",1955,930,"Yes","No",1,
28365,"76123","1","Marvel Super Heroes","Avengers: Endgame","2019","Captain America: Outriders Attack",4,167,19.99,19.99,24.99,24.99,"https://images.brickset.com/sets/images/76123-1.jpg",2663,946,"Yes","No",1,
28362,"76134","1","Marvel Super Heroes","Spider-Man","2019","Spider-Man: Doc Ock Diamond Heist",3,150,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/76134-1.jpg",592,509,"Yes","No",1,
