Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"70638-1","Ninjago","Sons of Garmadon",2018,"Katana V11",2,257,14.99,19.99,24.99,19.99,5702016108897,673419281225,26.2,19.1,6.1,0.32,"",1,1,0,,,,,,,,,26.3200,12.2300,"01/01/2018","31/12/2019"
"70639-1","Ninjago","Sons of Garmadon",2018,"Street Race of Snake Jaguar",2,308,24.99,29.99,39.99,29.99,5702016108903,673419281232,35.4,19.1,5.9,0.44,"",1,1,0,,,,,,,,,71.5100,42.2800,"01/01/2018","31/12/2019"
"70650-1","Ninjago","Hunted",2018,"Destiny's Wing",2,181,17.99,19.99,24.99,19.99,5702016109856,673419282185,26.2,19.1,6.1,0.33,"",1,1,0,,,,,,,,,37.9900,17.0500,"01/06/2018","31/12/2019"
"70665-1","Ninjago","General",2019,"The Samurai Mech",3,154,14.99,14.99,19.99,14.61,5702016367355,673419301701,14.1,19.1,4.6,0.16,"",1,1,0,,,,,,,,,20.3700,10.7300,"01/01/2019","31/12/2020"
"70666-1","Ninjago","The Final Battle",2019,"The Golden Dragon",3,171,17.99,19.99,24.99,19.49,5702016367362,673419301718,20.5,19.1,6.1,0.24,"",1,1,0,,,,,,,,,30.0100,15.2400,"01/01/2019","31/12/2020"
"70668-1","Ninjago","Rise of the Snakes",2019,"Jay's Storm Fighter",4,490,34.99,39.99,49.99,38.98,5702016367485,673419301732,38.2,26.2,7.05,0.7,"",1,1,0,,,,,,,,,57.2800,36.1100,"01/01/2019","31/12/2020"
"70671-1","Ninjago","Secrets of the Forbidden Spinjitzu",2019,"Lloyd's Journey",2,81,12.99,14.99,19.99,14.61,5702016365481,,15.7,14.1,6.1,,"",1,1,0,,,,,,,,,18.5200,15.3000,"01/06/2019","31/12/2020"
"70672-1","Ninjago","Secrets of the Forbidden Spinjitzu",2019,"Cole's Dirt Bike",3,212,17.99,19.99,24.99,19.49,5702016365498,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,24.4900,12.8900,"01/06/2019","31/12/2020"
"70673-1","Ninjago","Secrets of the Forbidden Spinjitzu",2019,"Shuricopter",3,361,24.99,29.99,39.99,29.23,5702016365504,,38.2,26.2,5.7,,"",1,1,0,,,,,,,,,36.7700,25.9000,"01/06/2019","31/12/2020"
"70677-1","Ninjago","Secrets of the Forbidden Spinjitzu",2019,"Land Bounty",9,1178,119.99,129.99,159.99,126.71,5702016365542,,58.2,37.8,8.7,,"",1,1,0,,,,,,,,,176.6800,122.2500,"01/06/2019","31/12/2020"
"70680-1","Ninjago","General",2019,"Monastery Training",2,122,8.99,9.99,13.99,9.99,5702016394429,673419308687,14.1,12.2,6.1,0.13,"",1,1,0,,,,,,,,,10.4000,5.9700,"01/01/2019","31/12/2019"
"70683-1","Ninjago","Spinjitzu Slam",2019,"Spinjitzu Slam - Zane",1,63,8.99,9.99,13.99,9.99,5702016469028,,23.8,23,6.2,,"",1,1,0,,,,,,,,,14.0800,5.8300,"01/06/2019","31/07/2020"
"70821-1","The LEGO Movie 2","",2019,"Emmet and Benny's 'Build and Fix' Workshop!",2,117,17.99,19.99,24.99,19.99,5702016367935,673419302203,26.2,19.1,6.1,0.34,"",1,1,0,,,,,,,,,15.5400,12.9800,"01/01/2019","31/12/2019"
"70823-1","The LEGO Movie 2","",2019,"Emmet's Thricycle!",1,174,12.99,14.99,19.99,14.99,5702016367959,673419302227,14.1,26.2,6.1,0.25,"",1,1,0,,,,,,,,,10.7200,9.4000,"01/01/2019","31/12/2019"
"70836-1","The LEGO Movie 2","",2019,"Battle-Ready Batman and MetalBeard",2,168,17.99,19.99,24.99,19.99,5702016368192,673419302364,20.5,19.1,4.6,0.24,"",1,1,0,,,,,,,,,15.6900,11.4500,"01/01/2019","31/12/2019"
"70841-1","The LEGO Movie 2","",2019,"Benny's Space Squad",5,68,8.99,9.99,13.99,9.99,5702016395396,673419308786,14.1,12.2,4.6,0.09,"",1,1,0,,,,,,,,,14.4500,13.1200,"01/01/2019","31/12/2019"
"71707-1","Ninjago","Prime Empire",2020,"Kai's Mech Jet",2,217,17.99,19.99,24.99,19.99,5702016616934,673419318143,26.2,19.1,4.6,0.36,"",1,1,0,,,,,,,,,19.3200,12.8000,"01/01/2020","31/07/2021"
"71716-1","Ninjago","Arcade Pod",2020,"Lloyd Avatar - Arcade Pod",2,48,8.99,9.99,13.99,9.74,5702016617016,673419318228,10.8,24.7,8.2,0.14,"",1,1,0,,,,,,,,,13.6300,7.6500,"01/01/2020","31/12/2020"
"71717-1","Ninjago","Master of the Mountain",2020,"Journey to the Skull Dungeons",4,401,24.99,29.99,39.99,24.99,5702016617023,673419318235,35.4,19.1,7,0.565,"",1,1,0,,,,,,,,,32.6900,30.0000,"01/06/2020","31/07/2021"
"71718-1","Ninjago","Master of the Mountain",2020,"Wu's Battle Dragon",2,321,17.99,19.99,24.99,19.99,5702016617030,673419318242,26.2,19.1,6.1,0.32,"",1,1,0,,,,,,,,,28.4900,24.1700,"01/06/2020","31/07/2021"
"75036-1","Star Wars","Episode III",2014,"Utapau Troopers",4,83,11.99,12.99,15.99,16.99,5702015121132,673419209335,19.1008,14.097,4.5974,0.11,"",1,1,0,,,,,,,,,83.9900,53.7600,"01/01/2014","31/07/2015"
"75074-1","Star Wars","Microfighters",2015,"Snowspeeder Microfighter",1,97,8.99,9.99,12.99,9.99,5702015349109,673419230278,14.097,12.192,4.5974,0.09525432,"",1,1,0,,,,,,,,,15.1300,8.3600,"01/01/2015","31/12/2016"
"75184-1","Star Wars","Seasonal",2017,"Star Wars Advent Calendar",8,309,24.99,39.99,49.99,29.99,5702015869997,673419267717,38.2016,26.2128,7.0612,0.4218405,"",1,1,0,,,,,,,,,38.1900,28.9900,"01/09/2017","31/12/2017"
"75229-1","Star Wars","Episode IV",2019,"Death Star Escape",4,329,24.99,29.99,39.99,29.99,5702016370386,673419303811,26.2,19.1,7.2,0.44,"",1,1,0,,,,,,,,,37.8600,29.6300,"01/01/2019","31/12/2019"
"75258-1","Star Wars","Episode I",2019,"Anakin's Podracer – 20th Anniversary Edition",3,279,24.99,29.99,39.99,29.23,5702016370713,673419304146,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,35.5100,30.2300,"01/04/2019","31/12/2020"
"75279-1","Star Wars","Seasonal",2020,"Star Wars Advent Calendar",10,311,24.99,39.99,49.99,29.23,5702016617085,673419318297,0,0,0,0,"",1,1,0,,,,,,,,,47.8400,40.6700,"01/09/2020","31/12/2020"
"75549-1","Minions: The Rise of Gru","",2020,"Unstoppable Bike Chase",3,136,17.99,19.99,24.99,19.99,5702016619195,673419320177,26.2,19.1,4.6,0.23,"",1,1,0,,,,,,,,,17.0500,13.0800,"27/04/2020","31/12/2021"
"75890-1","Speed Champions","Ferrari",2019,"Ferrari F40 Competizione",1,198,12.99,14.99,19.99,14.99,5702016370942,673419304504,19.1,14.1,6.1,0.22,"",1,1,0,,,,,,,,,16.9400,13.5200,"01/01/2019","31/07/2021"
"75892-1","Speed Champions","McLaren",2019,"McLaren Senna",1,219,12.99,14.99,19.99,14.99,5702016370966,673419304528,19.1,14.1,6.1,0.25,"",1,1,0,,,,,,,,,18.0200,11.1800,"01/01/2019","31/07/2021"
"75945-1","Harry Potter","Prisoner of Azkaban",2019,"Expecto Patronum",4,121,19.99,19.99,24.99,19.49,5702016368468,,26.2,14.1,4.8,,"",1,1,0,,,,,,,,,25.7400,17.7800,"01/06/2019","31/12/2020"
"75950-1","Harry Potter","Chamber of Secrets",2018,"Aragog's Lair",2,157,12.99,14.99,18.99,19.99,5702016110333,673419281935,19.1,14.1,4.6,0.16,"",1,1,0,,,,,,,,,28.7500,17.2900,"01/08/2018","31/12/2019"
"75951-1","Harry Potter","Fantastic Beasts",2018,"Grindelwald's Escape",2,132,19.99,19.99,24.99,29.99,5702016110340,673419281942,26.2,14.1,4.8,0.24,"",1,1,0,,,,,,,,,23.1900,13.4300,"01/08/2018","31/12/2019"
"75964-1","Harry Potter","Seasonal",2019,"Harry Potter Advent Calendar",8,305,24.99,39.99,49.99,24.99,5702016604108,,38.2,26.2,7.1,,"",1,1,0,,,,,,,,,35.6100,21.7100,"01/09/2019","31/12/2019"
"75965-1","Harry Potter","Goblet of Fire",2019,"The Rise of Voldemort",6,184,19.99,19.99,24.99,19.49,5702016604139,,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,30.8100,22.8600,"01/08/2019","31/12/2020"
"76113-1","Marvel Super Heroes","Spider-Man",2019,"Spider-Man Bike Rescue",3,235,19.99,19.99,24.99,24.36,5702016368666,673419302890,26.2,19.1,6.1,0.34,"",1,1,0,,,,,,,,,43.3400,20.0000,"",""
"76120-1","DC Comics Super Heroes","Batman",2019,"Batwing and The Riddler Heist",4,489,49.99,49.99,69.99,48.73,5702016369144,,38.2,26.2,7.1,,"",1,1,0,,,,,,,,,74.7700,55.3300,"01/06/2019","31/12/2020"
"76123-1","Marvel Super Heroes","Avengers: Endgame",2019,"Captain America: Outriders Attack",4,167,19.99,19.99,24.99,24.36,5702016369052,,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,23.4000,10.7900,"01/04/2019","31/12/2020"
"76134-1","Marvel Super Heroes","Spider-Man",2019,"Spider-Man: Doc Ock Diamond Heist",3,150,24.99,29.99,39.99,29.99,5702016369748,673419303774,22.2,26.2,7.6,0.53,"",1,1,0,,,,,,,,,32.0900,19.7200,"",""
"76140-1","Marvel Super Heroes","Avengers",2020,"Iron Man Mech",1,148,8.99,9.99,13.99,9.99,5702016618020,673419320221,14.1,19.1,4.6,0.16,"",1,1,0,,,,,,,,,10.9600,7.2400,"01/01/2020","31/12/2021"
"76141-1","Marvel Super Heroes","Avengers",2020,"Thanos Mech",1,152,8.99,9.99,13.99,9.99,5702016618037,673419320238,14.1,19.1,4.6,0.16,"",1,1,0,,,,,,,,,12.1400,8.5700,"01/01/2020","31/07/2021"
"76168-1","Marvel Super Heroes","Avengers",2021,"Captain America Mech Armor",1,121,8.99,9.99,13.99,9.99,5702016912739,,14.1,15.7,4.5,,"",1,1,0,,,,,,,,,14.1500,10.8800,"01/01/2021","31/12/2021"
"76169-1","Marvel Super Heroes","Avengers",2021,"Thor Mech Armor",1,139,8.99,9.99,13.99,9.99,5702016912746,,14.1,15.7,4.5,,"",1,1,0,,,,,,,,,13.1300,10.5800,"01/01/2021","31/12/2021"
"76171-1","Marvel Super Heroes","Spider-Man",2021,"Miles Morales Mech Armor",1,125,8.99,9.99,13.99,9.99,5702016912760,,14.1,15.7,4.5,,"",1,1,0,,,,,,,,,12.9600,10.1600,"01/01/2021","31/12/2021"
"76186-1","Marvel Super Heroes","Avengers: Endgame",2021,"Black Panther Dragon Flyer",3,202,17.99,19.99,24.99,19.99,5702016913033,673419339544,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,15.4800,11.5000,"01/06/2021","31/12/2022"
"76195-1","Marvel Super Heroes","Spider-Man: Homecoming",2021,"Spider-Man's Drone Duel",2,198,17.99,19.99,24.99,19.99,5702016913231,,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,19.4300,15.0000,"01/10/2021","31/12/2022"
"76198-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man & Doctor Octopus Mech Battle",2,305,17.99,19.99,24.99,19.99,5702016989694,673419345606,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,24.4500,10.6500,"26/04/2021","31/12/2022"
"76205-1","Marvel Super Heroes","Doctor Strange in the Multiverse of Madness",2022,"Gargantos Showdown",3,264,24.99,29.99,39.99,29.99,5702017184500,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,25.1100,19.8100,"01/01/2022","31/12/2022"
"76384-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Herbology Class",3,233,27.99,29.99,39.99,29.99,5702016912951,,19.1,26.2,6.1,,"",1,1,0,,,,,,,,,43.3100,28.3300,"01/01/2021","31/12/2021"
"76388-1","Harry Potter","Prisoner of Azkaban",2021,"Hogsmeade Village Visit",7,851,79.99,89.99,119.99,89.99,5702016913675,673419340458,48,28.2,7.4,,"",1,1,0,,,,,,,,,64.7600,57.6000,"01/06/2021","31/12/2024"
"76399-1","Harry Potter","General",2022,"Hogwarts Magical Trunk",1,603,59.99,64.99,84.99,64.99,5702017153407,,38.2,26.2,5.7,,"",1,1,0,,,,,,,,,43.7300,38.0000,"01/03/2022","31/12/2023"
"854049-1","Seasonal","Halloween",2020,"Pumpkin & Bat Duo",,130,8.99,9.99,12.99,9.99,,673419332019,8.2,10.1,4.5,0.117,"",1,1,0,,,,,,,,,10.9700,10.0000,"",""







